"Stock","Year","Length","CatchNo"
"CRPN-S",2008,210,0.3127716211
"CRPN-S",2008,220,0.2686561943
"CRPN-S",2008,230,0.8340576562
"CRPN-S",2008,240,1.5357690322
"CRPN-S",2008,250,2.1913619849
"CRPN-S",2008,260,2.2596960203
"CRPN-S",2008,270,2.8779528821
"CRPN-S",2008,280,5.9677069233
"CRPN-S",2008,290,8.575212583
"CRPN-S",2008,300,9.5768887451
"CRPN-S",2008,310,17.519729748
"CRPN-S",2008,320,26.457294375
"CRPN-S",2008,330,33.1307232407
"CRPN-S",2008,340,38.6216593119
"CRPN-S",2008,350,33.5130982443
"CRPN-S",2008,360,34.2823083151
"CRPN-S",2008,370,37.6902569073
"CRPN-S",2008,380,32.4588611874
"CRPN-S",2008,390,28.7293402035
"CRPN-S",2008,400,33.5812441278
"CRPN-S",2008,410,31.318844928
"CRPN-S",2008,420,30.6327912274
"CRPN-S",2008,430,25.1321547282
"CRPN-S",2008,440,19.8021937351
"CRPN-S",2008,450,13.0319379064
"CRPN-S",2008,460,14.8582130531
"CRPN-S",2008,470,11.8719361248
"CRPN-S",2008,480,10.51110267
"CRPN-S",2008,490,9.8635244355
"CRPN-S",2008,500,5.6403661419
"CRPN-S",2008,510,4.717653781
"CRPN-S",2008,520,3.6347790098
"CRPN-S",2008,530,1.8606599245
"CRPN-S",2008,540,1.6627591224
"CRPN-S",2008,550,1.2042239271
"CRPN-S",2008,560,0.6577541924
"CRPN-S",2008,570,1.2926133537
"CRPN-S",2008,580,0.0936585812
"CRPN-S",2008,590,0.4068092329
"CRPN-S",2008,600,0
"CRPN-S",2008,610,0.1025978352
"CRPN-S",2008,620,0
"CRPN-S",2008,630,0
"CRPN-S",2008,640,0
"CRPN-S",2009,210,0.3592106041
"CRPN-S",2009,220,0.179605302
"CRPN-S",2009,230,1.2104307658
"CRPN-S",2009,240,1.0688980417
"CRPN-S",2009,250,1.2741835764
"CRPN-S",2009,260,2.0530397113
"CRPN-S",2009,270,4.3083046402
"CRPN-S",2009,280,8.012003756
"CRPN-S",2009,290,13.8011801604
"CRPN-S",2009,300,26.8813048725
"CRPN-S",2009,310,37.0253604044
"CRPN-S",2009,320,49.8882947905
"CRPN-S",2009,330,54.7857123436
"CRPN-S",2009,340,58.7231567876
"CRPN-S",2009,350,54.07427777
"CRPN-S",2009,360,50.9186579734
"CRPN-S",2009,370,42.2940112113
"CRPN-S",2009,380,44.4001699085
"CRPN-S",2009,390,39.3380701632
"CRPN-S",2009,400,35.3343214906
"CRPN-S",2009,410,33.8434424748
"CRPN-S",2009,420,29.6554478831
