length,dates
17.5,41005
17.5,41005
26.2,41009
31.7,41009
16,41009
14.9,41009
16.6,41009
16.1,41009
17.7,41009
17.1,41009
18.6,41009
15,41009
16.5,41009
16.4,41009
14.9,41009
16.5,41009
15.2,41009
16.6,41009
15.9,41009
15.7,41009
17.5,41009
17,41009
16,41009
15.4,41009
16.5,41009
16.3,41009
14.6,41009
15.4,41009
16.2,41009
16.8,41009
15.2,41009
15.4,41009
16,41009
14.2,41009
16.3,41009
16,41009
17.8,41009
17.3,41009
15.7,41009
16.9,41009
16.9,41009
15.3,41009
18.5,41009
16.2,41009
16.1,41009
15.7,41009
13.3,41009
14.1,41009
12.6,41009
13.5,41009
19,41013
22.5,41013
18.5,41013
19,41013
21.5,41013
17.5,41013
18,41013
21,41013
18,41013
31.5,41019
13.5,41023
13.7,41023
13.5,41023
14,41023
17.3,41023
13.6,41023
17.5,41023
13.5,41023
13.2,41023
16,41023
16,41023
17,41023
14.2,41023
13.3,41023
13.6,41023
29.2,41031
,41031
20.5,41032
18.5,41032
27,41032
20,41032
26,41032
19.4,41032
18.8,41032
19,41032
19,41032
19.9,41032
18.8,41032
20,41032
17.5,41032
23,41032
19.5,41032
20,41032
19.2,41032
22.6,41032
19.8,41032
16.4,41032
20.4,41032
16,41032
20,41032
17.1,41032
19.5,41032
19,41032
13.7,41047
13.5,41047
13.3,41047
13.1,41047
34.5,41048
31.6,41048
19.6,41048
16,41048
17.4,41048
18.5,41048
20.5,41048
20.6,41048
18,41048
20.3,41048
21,41048
22.2,41082
16.1,41082
20,41082
18.8,41082
16.5,41082
17.8,41082
19.3,41082
18,41082
20.5,41082
19.5,41082
18.5,41082
17.6,41082
18.1,41082
15.9,41082
17.4,41082
20.2,41082
17.7,41082
16.7,41082
20,41082
19.5,41082
19.7,41082
14.9,41082
18.3,41082
18.6,41082
22.7,41082
16.5,41082
19.1,41082
18,41082
19.2,41082
18.8,41082
18.1,41082
18.3,41082
16.7,41082
17.7,41082
17,41082
16.6,41082
18.2,41082
19.3,41082
16.9,41082
17.5,41082
19.2,41082
18.8,41082
19.5,41082
15,41082
17.5,41082
15.7,41082
19.4,41082
29.6,41082
31.1,41082
33,41082
18.5,41085
17.8,41085
18.2,41085
17.9,41085
22.2,41085
18.8,41085
18.7,41085
20.6,41085
20.5,41085
40,41088
32.9,41088
31.3,41088
31.3,41088
31,41088
29.8,41088
33,41088
33.5,41092
41.5,41092
32.8,41096
25.2,41115
29.5,41115
22.3,41115
23.8,41115
27.3,41115
27.5,41115
36.5,41122
32.7,41122
41.5,41122
24.3,41122
27,41122
28.3,41122
41,41128
39.1,41128
33,41128
27.8,41158
25.9,41159
21.5,41160
22.5,41160
19.5,41160
15,41160
19.3,41160
20,41160
20.7,41160
38,41163
42.5,41163
38,41163
25.2,41164
18.8,41164
34,41164
18.9,41164
27,41164
22.5,41164
,41169
16.5,41169
33,41169
47.5,41169
31,41179
25,41179
28,41179
28.5,41179
30,41179
34,41179
29,41179
27.5,41179
24.5,41179
29,41179
34,41179
35,41179
31.5,41179
15.7,41365
18.5,41365
17.9,41365
17.9,41365
19.5,41368
19,41368
20.7,41368
28,41368
26,41368
26.5,41368
19.5,41368
23.5,41368
25,41368
19,41368
19.5,41368
23.5,41368
18.4,41368
19.2,41368
19,41368
19.5,41368
19.5,41368
23,41368
19.5,41368
21.7,41368
35,41447
30,41447
23.5,41447
28.2,41447
25,41447
32.5,41447
27.7,41447
23,41447
24,41447
23,41447
27,41447
26,41447
24.7,41447
24,41447
24,41447
23.7,41447
24.8,41447
43,41447
19.5,41447
51,41447
40,41447
34.5,41447
20.7,41447
27,41447
33,41447
29,41447
39,41447
24.7,41447
24,41447
27,41447
36,41447
22,41447
19.5,41447
19.4,41447
20.1,41447
21.6,41447
30,41447
35.8,41447
16.5,41447
23.8,41447
21,41447
22,41449
25.5,41449
25.7,41449
34,41449
27,41449
22.2,41449
23.2,41449
27.2,41449
41,41449
23.5,41449
38,41449
21,41449
23,41449
18,41449
24,41449
34,41449
27.5,41449
26,41449
26.5,41449
23,41449
21,41449
24,41449
21,41449
23,41449
44,41449
24,41449
26,41449
30,41449
30,41449
26,41449
22.6,41449
22.5,41449
23.5,41449
18,41449
22,41518
22,41518
23,41518
25,41562
38,41725
32.5,41725
21.5,41725
29.3,41905
26.1,41917
27.4,41917
33.2,41917
33,41917
28.3,41917
21,41917
19.5,41917
21,41917
21.5,41917
24,41917
19,41917
20,41917
25,41917
23.2,41917
25,41960
23,41960
21.5,41960
20.5,41960
32.5,41960
35.5,41960
20,41960
28.5,41960
33.5,41960
21.5,41960
21,41960
21.6,41960
32,41895
19.4,42113
16,42113
23,42113
27,42113
29.8,42113
21.5,42113
20.5,42170
19.5,42170
23.5,42205
23,42205
18.5,42205
17.5,42205
16.5,42205
17,42205
42,42205
21.5,42221
23.5,42221
28.5,42221
20.7,42221
20.5,42221
35,42246
24,42246
22,42255
21,42255
22.5,42255
22.2,42255
20.5,42255
21.6,42255
20.6,42255
19.6,42255
20.5,42255
26,42255
21.6,42255
20.5,42255
21.7,42255
23.5,42255
20.2,42255
21,42255
22,42255
19.5,42255
21.3,42255
20.3,42255
22.6,42255
20.8,42255
23.5,42255
31.5,42255
21.5,42255
19.5,42255
24,42255
26,42255
23.4,42255
20.8,42255
21.7,42255
23.5,42255
21.3,42255
21,42255
21.7,42255
18.7,42255
23.2,42255
22.5,42255
22.2,42255
19.4,42083
16,42083
23,42083
27,42083
29.8,42083
21.5,42083
20,42432
26.5,42460
22.5,42460
27,42460
22.2,42460
21,42460
22,42460
22.5,42460
20.5,42460
21.4,42460
19.8,42460
18,42460
14,42464
14,42464
14.2,42464
13,42464
14.5,42464
12.8,42464
13.1,42464
27,42530
23.5,42530
20,42530
22.5,42530
23.7,42530
19.3,42530
20,42530
19,42530
19.7,42530
18.5,42530
22.3,42530
21,42530
21.2,42530
19.5,42530
22.5,42530
18.7,42530
19,42530
13.2,42530
19.7,42530
19.5,42530
19.5,42530
29,42530
18.6,42540
20,42540
18.7,42540
22,42540
17,42571
11,42571
15.5,42571
15,42571
16.5,42571
15.2,42571
15.5,42571
15,42571
11,42571
21,42590
22.5,42590
19.5,42590
20.5,42590
19.5,42590
20,42590
23,42590
20.5,42590
21.5,42590
22.5,42590
19,42590
21.5,42590
20,42590
21,42594
21.6,42594
20.3,42594
23,42594
23.7,42594
20.5,42594
20.2,42594
20.6,42594
27.2,42594
21.7,42594
19,42594
24.2,42594
20.5,42594
25.3,42594
16.6,42594
16,42594
19,42594
19.2,42594
16,42600
15.2,42600
15.5,42600
19.8,42600
20.2,42600
20.6,42600
21,42600
18.2,42600
15.2,42600
20.5,42600
12.5,42600
14.5,42600
15.6,42600
20,42600
16,42600
20,42600
15.2,42600
12,42600
20.2,42600
15.2,42600
21,42620
19.2,42620
19.8,42620
12,42620
20.2,42620
20.2,42620
19,42620
19,42620
19,42620
19.7,42620
19,42620
19.5,42620
19.7,42620
17.2,42620
15.8,42620
16,42620
15.5,42620
16,42620
16,42620
16.5,42620
46,42858
21,42858
21,42858
23,42858
18,42858
26,42858
25,42858
34,42874
22,42874
21,42874
20.5,42874
22,42874
23,42874
21.5,42874
22.5,42874
22,42874
20.5,42874
23,42874
23.5,42874
24,42874
20.5,42874
22.5,42874
23,42874
22,42874
23,42874
29,43027
34,43027
32,43027
28,43027
26,43027
21,43027
31,43027
29,43027
39,43027
32,43027
31,43027
28,43027
29,43027
28,43027
30,43027
23,43027
36,43027
37,43027
29,43027
26,43027
30,43027
36,43027
37,43027
37,43027
29,43027
29,43027
30,43027
28,43027
33,43027
33,43027
33,43027
34,43027
39,43027
29,43027
39,43027
35,43027
40,43027
31,43027
30,43027
31,43027
28,43027
30,43027
25,43027
29,43027
30,43027
16,43027
30,43027
29,43027
27,43027
31,43027
29,43027
29,43027
28,43027
30,43027
26,43027
29,43027
28,43027
30,43027
32,43027
30,43027
28,43027
30,43027
31,43027
28,43027
28,43027
29,43027
28,43027
24,43027
28,43027
24,43027
27,43027
27,43027
30,43027
26,43027
26,43027
25,43027
41,43027
43,43027
28,43027
31,43027
37,43027
23,43027
34,43027
39,43027
31,43027
26,43027
37,43027
32,43027
30,43027
37,43027
38,43027
29,43029
35,43029
31,43029
35,43029
37,43029
29,43029
43,43029
31,43029
33,43029
28.5,43029
29,43029
39,43029
29,43029
35,43029
36,43029
32,43029
30,43029
31,43029
30,43029
22,43029
30,43029
31,43029
35,43029
